Date,Year,Month,Value,Indicator,Source,Frequency,File,Original_Indicator
2011-12,2011,,59090.8,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,7. Aggregate Deposits (5)
1990-91,1990,,1163.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,8. Bank Credit (5)
2009-10,2009,,32447.9,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,8. Bank Credit (5)
2010-11,2010,,39420.8,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,8. Bank Credit (5)
2011-12,2011,,46118.5,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,8. Bank Credit (5)
1990-91,1990,,2658.3,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,(b) M3
2009-10,2009,,56027.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,(b) M3
2010-11,2010,,65041.2,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,(b) M3
2011-12,2011,,73440.7,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,(b) M3
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2008-09,2008,,4162509.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,3. General Index of Industrial Production (1)
2008-09,2008,,145.2,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,3. General Index of Industrial Production (1)
2009-10,2009,,152.9,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,3. General Index of Industrial Production (1)
2010-11,2010,,165.4,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,7. Aggregate Deposits (5)
2009-10,2009,,4492826.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,7. Aggregate Deposits (5)
2010-11,2010,,5207969.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,8. Bank Credit (5)
2009-10,2009,,3244788.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,8. Bank Credit (5)
2010-11,2010,,3942083.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,8. Bank Credit (5)
1990-91,1990,,265828.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,(b) M3
2008-09,2008,,4794812.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,(b) M3
2009-10,2009,,5602731.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,(b) M3
2010-11,2010,,6499548.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BLS071011F.xls,(b) M3
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS1110.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2007-08,2007,,3893457.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS1110.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS1110.xls,3. General Index of Industrial Production (1)
2007-08,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLS1110.xls,3. General Index of Industrial Production (1)
